21:15:50: Account aaa has been created.
03:12:55: aaa has logged in from 127.0.0.1.
03:12:57: aaa/DEV Gileijah has began playing .
03:15:34: aaa has logged in from 127.0.0.1.
03:15:35: aaa/DEV Gileijah has began playing .
03:28:36: aaa has logged in from 127.0.0.1.
03:28:38: aaa/DEV Gileijah has began playing .
03:55:25: aaa has logged in from 127.0.0.1.
03:55:36: aaa/DEV Gileijah has began playing .
04:02:55: aaa has logged in from 127.0.0.1.
04:02:56: aaa/DEV Gileijah has began playing .
04:26:00: aaa has logged in from 127.0.0.1.
04:26:02: aaa/DEV Gileijah has began playing .
04:31:04: aaa has logged in from 127.0.0.1.
04:31:05: aaa/DEV Gileijah has began playing .
04:34:46: aaa has logged in from 127.0.0.1.
04:34:47: aaa/DEV Gileijah has began playing .
05:04:59: aaa has logged in from 127.0.0.1.
05:05:02: aaa/DEV Gileijah has began playing .
05:13:37: aaa has logged in from 127.0.0.1.
05:13:39: aaa/Gil has began playing .
05:14:42: aaa has logged in from 127.0.0.1.
05:14:50: Character gfdgfd added to aaa's account.
05:14:53: aaa/gfdgfd has began playing .
05:15:59: aaa has logged in from 127.0.0.1.
05:16:01: aaa/DEV Gileijah has began playing .
05:21:15: aaa has logged in from 127.0.0.1.
05:21:18: aaa/gfdgfd has began playing .
05:22:47: aaa has logged in from 127.0.0.1.
05:22:48: aaa/DEV Gileijah has began playing .
05:23:27: aaa has logged in from 127.0.0.1.
05:23:30: aaa/gfdgfd has began playing .
05:23:58: aaa has logged in from 127.0.0.1.
05:24:01: aaa/DEV Gileijah has began playing .
05:24:44: aaa has logged in from 127.0.0.1.
05:24:55: aaa/gfdgfd has began playing .
05:28:26: aaa has logged in from 127.0.0.1.
05:28:27: aaa/DEV Gileijah has began playing .
05:32:57: aaa has logged in from 127.0.0.1.
05:32:59: aaa/gfdgfd has began playing .
05:33:48: aaa has logged in from 127.0.0.1.
05:33:50: aaa/DEV Gileijah has began playing .
05:34:28: aaa has logged in from 127.0.0.1.
05:34:30: aaa/gfdgfd has began playing .
05:39:42: aaa has logged in from 127.0.0.1.
05:39:45: aaa/gfdgfd has began playing .
05:42:17: aaa has logged in from 127.0.0.1.
05:42:19: aaa/DEV Gileijah has began playing .
05:58:16: aaa has logged in from 127.0.0.1.
05:58:22: aaa/DEV Gileijah has began playing .
23:21:26: aaa has logged in from 127.0.0.1.
23:21:39: aaa/DEV Gileijah has began playing .
23:39:15: aaa has logged in from 127.0.0.1.
23:39:20: Character deleted on aaa's account.
23:39:30: Character Gile added to aaa's account.
23:39:41: aaa/Gile has began playing .
23:40:58: aaa has logged in from 127.0.0.1.
23:41:00: aaa/Gile has began playing .
23:49:34: aaa has logged in from 127.0.0.1.
23:49:39: Character deleted on aaa's account.
23:49:47: Character Gile added to aaa's account.
23:49:51: aaa/Gile has began playing .
23:50:55: aaa has logged in from 127.0.0.1.
23:50:57: aaa/DEV Gileijah has began playing .
00:27:10: aaa has logged in from 127.0.0.1.
00:27:12: aaa/DEV Gileijah has began playing .
01:14:51: aaa has logged in from 127.0.0.1.
01:14:52: aaa/DEV Gileijah has began playing .
01:40:49: aaa has logged in from 127.0.0.1.
01:40:53: aaa/DEV Gileijah has began playing .
01:44:40: aaa has logged in from 127.0.0.1.
01:44:42: aaa/DEV Gileijah has began playing .
01:45:57: aaa has logged in from 127.0.0.1.
01:45:58: aaa/DEV Gileijah has began playing .
01:46:37: aaa has logged in from 127.0.0.1.
01:46:39: aaa/DEV Gileijah has began playing .
02:04:05: aaa has logged in from 127.0.0.1.
02:04:12: Character deleted on aaa's account.
02:05:28: Character Gilei added to aaa's account.
02:05:59: aaa has logged in from 127.0.0.1.
02:06:01: aaa/Gilei has began playing .
04:11:42: aaa has logged in from 127.0.0.1.
04:11:49: aaa/Gilei has began playing .
20:04:52: aaa has logged in from 127.0.0.1.
20:04:56: aaa/Gilei has began playing .
20:49:26: aaa has logged in from 127.0.0.1.
20:49:31: aaa/Gilei has began playing .
20:51:34: aaa has logged in from 127.0.0.1.
20:51:37: aaa/Gilei has began playing .
21:01:13: aaa has logged in from 127.0.0.1.
21:01:16: aaa/Gilei has began playing .
21:02:14: aaa has logged in from 127.0.0.1.
21:02:18: Character deleted on aaa's account.
21:02:41: Character Gile added to aaa's account.
21:02:44: aaa/Gile has began playing .
21:03:34: aaa has logged in from 127.0.0.1.
21:03:36: aaa/Gilei has began playing .
21:04:41: aaa has logged in from 127.0.0.1.
21:04:43: aaa/Gile has began playing .
21:13:14: aaa has logged in from 127.0.0.1.
21:13:17: aaa/Gilei has began playing .
21:16:29: aaa has logged in from 127.0.0.1.
21:16:31: aaa/Gile has began playing .
21:41:22: aaa has logged in from 127.0.0.1.
21:41:24: aaa/Gilei has began playing .
21:42:12: aaa has logged in from 127.0.0.1.
21:42:15: aaa/Gile has began playing .
21:45:05: aaa has logged in from 127.0.0.1.
21:45:07: aaa/Gilei has began playing .
21:49:14: aaa has logged in from 127.0.0.1.
21:49:16: aaa/Gile has began playing .
21:49:47: aaa has logged in from 127.0.0.1.
21:49:50: aaa/Gilei has began playing .
21:55:10: aaa has logged in from 127.0.0.1.
21:55:12: aaa/Gile has began playing .
23:12:50: aaa has logged in from 127.0.0.1.
23:12:53: aaa/Gilei has began playing Belat.
23:20:37: aaa has logged in from 127.0.0.1.
23:20:49: aaa/Gilei has began playing Belat.
23:22:24: aaa has logged in from 127.0.0.1.
23:22:27: aaa/Gilei has began playing Belat.
23:45:09: aaa has logged in from 127.0.0.1.
23:45:13: aaa/Gilei has began playing Belat.
00:09:10: aaa has logged in from 127.0.0.1.
00:09:22: aaa/Gilei has began playing Belat.
00:15:56: aaa has logged in from 127.0.0.1.
00:15:59: aaa/Gilei has began playing Belat.
00:28:06: aaa has logged in from 127.0.0.1.
00:28:11: aaa/Gilei has began playing Belat.
00:58:17: aaa has logged in from 127.0.0.1.
00:58:23: aaa/Gilei has began playing Belat.
01:17:41: aaa has logged in from 127.0.0.1.
01:17:43: aaa/Gilei has began playing Belat.
01:06:29: aaa has logged in from 127.0.0.1.
01:06:33: aaa/Gilei has began playing Belat.
21:05:12: aaa has logged in from 127.0.0.1.
21:05:16: aaa/Gilei has began playing Belat.
21:07:00: aaa has logged in from 127.0.0.1.
21:07:03: aaa/Gilei has began playing Belat.
21:09:10: aaa has logged in from 127.0.0.1.
21:09:12: aaa/Gilei has began playing Belat.
21:10:39: aaa has logged in from 127.0.0.1.
21:10:41: aaa/Gile has began playing Belat.
02:47:47: aaa has logged in from 127.0.0.1.
02:47:51: aaa/DEV Gileijah has began playing Belat.
02:48:10: aaa has logged in from 127.0.0.1.
02:48:12: aaa/Gilei has began playing Belat.
02:48:52: aaa has logged in from 127.0.0.1.
02:48:56: Character deleted on aaa's account.
02:49:08: Character Dalster added to aaa's account.
02:49:11: aaa/Dalster has began playing Belat.
01:54:05: aaa has logged in from 127.0.0.1.
01:54:10: aaa/Gilei has began playing Belat.
02:49:02: aaa has logged in from 127.0.0.1.
02:49:05: aaa/Gilei has began playing Belat.
04:51:51: aaa has logged in from 127.0.0.1.
04:51:53: aaa/Dalster has began playing Belat.
13:58:59: aaa has logged in from 127.0.0.1.
13:59:03: aaa/Gilei has began playing Belat.
14:09:13: aaa has logged in from 127.0.0.1.
14:09:16: aaa/Gilei has began playing Belat.
14:21:44: aaa has logged in from 127.0.0.1.
14:21:45: aaa/Dalster has began playing Belat.
16:20:00: aaa has logged in from 127.0.0.1.
16:20:02: aaa/Gilei has began playing Belat.
01:43:07: aaa has logged in from 127.0.0.1.
01:43:50: aaa/Gilei has began playing Belat.
02:44:35: aaa has logged in from 127.0.0.1.
02:44:38: aaa/Gilei has began playing Belat.
03:28:56: aaa has logged in from 127.0.0.1.
03:28:59: aaa/Gilei has began playing Belat.
02:40:31: aaa has logged in from 127.0.0.1.
02:40:44: aaa/Gilei has began playing Belat.
16:21:53: aaa has logged in from 127.0.0.1.
16:21:56: aaa/Gilei has began playing Belat.
17:24:12: aaa has logged in from 127.0.0.1.
17:24:15: aaa/Gilei has began playing Belat.
17:46:36: aaa has logged in from 127.0.0.1.
17:46:39: aaa/Gilei has began playing Belat.
00:14:21: aaa has logged in from 127.0.0.1.
00:14:25: aaa/Gilei has began playing Belat.
02:32:59: aaa has logged in from 127.0.0.1.
02:33:02: aaa/Gilei has began playing Belat.
02:40:39: aaa has logged in from 127.0.0.1.
02:40:41: aaa/Gilei has began playing Belat.
02:41:22: aaa has logged in from 127.0.0.1.
02:41:25: aaa/Gilei has began playing Belat.
02:45:10: aaa has logged in from 127.0.0.1.
02:45:12: aaa/Gilei has began playing Belat.
03:22:57: aaa has logged in from 127.0.0.1.
03:22:59: aaa/Gilei has began playing Belat.
04:16:15: aaa has logged in from 127.0.0.1.
04:16:22: Character deleted on aaa's account.
04:17:02: Character Dalster added to aaa's account.
04:17:05: aaa/Dalster has began playing Belat.
04:21:56: aaa has logged in from 127.0.0.1.
04:21:59: aaa/Dalster has began playing Belat.
00:58:07: aaa has logged in from 127.0.0.1.
00:58:09: aaa/Gilei has began playing Belat.
00:41:32: aaa has logged in from 127.0.0.1.
00:41:35: aaa/Gilei has began playing Belat.
00:51:48: aaa has logged in from 127.0.0.1.
00:51:49: aaa/DEV Gileijah has began playing Belat.
00:58:32: aaa has logged in from 127.0.0.1.
00:58:40: aaa/DEV Gileijah has began playing Belat.
01:02:29: aaa has logged in from 127.0.0.1.
01:02:34: Character deleted on aaa's account.
01:02:48: Character Dalster added to aaa's account.
01:02:51: aaa/Dalster has began playing Belat.
01:43:54: aaa has logged in from 127.0.0.1.
01:43:57: aaa/Gilei has began playing Belat.
00:24:46: aaa has logged in from 127.0.0.1.
00:24:51: aaa/Gilei has began playing Belat.
00:33:05: aaa has logged in from 127.0.0.1.
00:33:07: aaa/Gilei has began playing Belat.
00:59:42: aaa has logged in from 127.0.0.1.
00:59:44: aaa/Gilei has began playing Belat.
03:34:28: aaa has logged in from 127.0.0.1.
03:34:31: aaa/Gilei has began playing Belat.
03:35:54: aaa has logged in from 127.0.0.1.
03:35:56: aaa/Gilei has began playing Belat.
03:36:22: Map #2: Gilei : hejsan
03:36:29: Map #2: Gilei : tjaaaaaaaa!
03:36:54: aaa has logged in from 127.0.0.1.
03:36:56: aaa/Gilei has began playing Belat.
03:37:07: aaa has logged in from 127.0.0.1.
03:37:09: aaa/Gilei has began playing Belat.
03:37:23: Map #2: Gilei : Tjeeeeeeeeeeeeeeeeeenn1!a!!!!!! laget assa?????????????
03:37:37: Map #2: Gilei : gfdg
03:37:41: Map #2: Gilei : tjabbabababa
03:37:55: aaa has logged in from 127.0.0.1.
03:37:56: aaa/Gilei has began playing Belat.
03:38:03: Map #2: Gilei : rcweghjrcwegbjkravbg3jhkabgh3jvka
03:38:13: Map #2: Gilei : hello everybody!!!!!
03:38:23: Map #2: Gilei : how are youg guys? are you tired?
04:28:58: aaa has logged in from 127.0.0.1.
04:29:00: aaa/Gilei has began playing Belat.
05:29:59: aaa has logged in from 127.0.0.1.
05:30:02: aaa/Gilei has began playing Belat.
16:40:06: aaa has logged in from 127.0.0.1.
16:40:13: aaa/Gilei has began playing Belat.
17:49:32: Map #2: Gilei : ytryryrtytr
17:49:38: Map #2: Gilei : ytrytyrtytryrtytr
17:49:42: Map #2: Gilei : halla!!!!!!
17:49:49: Map #2: Gilei : tjeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeena!
17:49:52: Map #2: Gilei : tja
17:50:03: Map #2: Gilei : Tjenixen lixen prixen ba
17:50:22: Map #2: Gilei : jag hade en gang en bat, med segel o ruff o kol
04:58:18: aaa has logged in from 127.0.0.1.
04:58:21: aaa/Gilei has began playing Belat.
05:20:09: aaa has logged in from 127.0.0.1.
05:20:11: aaa/Gilei has began playing Belat.
02:18:24: aaa has logged in from 127.0.0.1.
02:18:26: aaa/Gilei has began playing Belat.
02:25:48: aaa has logged in from 127.0.0.1.
02:25:50: aaa/DEV Gileijah has began playing Belat.
02:26:36: aaa has logged in from 127.0.0.1.
02:26:38: aaa/Gilei has began playing Belat.
04:03:09: aaa has logged in from 127.0.0.1.
04:03:11: aaa/Gilei has began playing Belat.
04:30:14: aaa has logged in from 127.0.0.1.
04:30:17: aaa/Gilei has began playing Belat.
05:35:05: aaa has logged in from 127.0.0.1.
05:35:07: aaa/Gilei has began playing Belat.
05:36:27: aaa has logged in from 127.0.0.1.
05:36:29: aaa/Gilei has began playing Belat.
05:37:25: aaa has logged in from 127.0.0.1.
05:37:28: aaa/Gilei has began playing Belat.
05:40:12: aaa has logged in from 127.0.0.1.
05:40:14: aaa/Gilei has began playing Belat.
05:42:00: aaa has logged in from 127.0.0.1.
05:42:03: aaa/Gilei has began playing Belat.
05:46:02: aaa has logged in from 127.0.0.1.
05:46:05: aaa/Gilei has began playing Belat.
05:48:07: aaa has logged in from 127.0.0.1.
05:48:10: aaa/Gilei has began playing Belat.
05:48:56: aaa has logged in from 127.0.0.1.
05:49:00: aaa/Gilei has began playing Belat.
05:49:56: aaa has logged in from 127.0.0.1.
05:49:58: aaa/Gilei has began playing Belat.
05:50:20: aaa has logged in from 127.0.0.1.
05:50:22: aaa/Gilei has began playing Belat.
05:51:41: aaa has logged in from 127.0.0.1.
05:51:44: aaa/Gilei has began playing Belat.
05:52:05: aaa has logged in from 127.0.0.1.
05:52:08: aaa/Gilei has began playing Belat.
05:53:32: aaa has logged in from 127.0.0.1.
05:53:34: aaa/Gilei has began playing Belat.
05:55:09: aaa has logged in from 127.0.0.1.
05:55:11: aaa/Gilei has began playing Belat.
05:56:50: aaa has logged in from 127.0.0.1.
05:56:52: aaa/Gilei has began playing Belat.
05:58:12: aaa has logged in from 127.0.0.1.
05:58:15: aaa/Gilei has began playing Belat.
05:59:53: aaa has logged in from 127.0.0.1.
05:59:55: aaa/Gilei has began playing Belat.
06:05:51: aaa has logged in from 127.0.0.1.
06:05:52: aaa/Gilei has began playing Belat.
06:07:39: aaa has logged in from 127.0.0.1.
06:07:41: aaa/Gilei has began playing Belat.
06:10:20: aaa has logged in from 127.0.0.1.
06:10:22: aaa/Gilei has began playing Belat.
06:12:11: aaa has logged in from 127.0.0.1.
06:12:13: aaa/Gilei has began playing Belat.
06:15:20: aaa has logged in from 127.0.0.1.
06:15:22: aaa/Gilei has began playing Belat.
06:16:53: aaa has logged in from 127.0.0.1.
06:16:55: aaa/Gilei has began playing Belat.
06:18:24: aaa has logged in from 127.0.0.1.
06:18:27: aaa/Gilei has began playing Belat.
06:19:32: aaa has logged in from 127.0.0.1.
06:19:35: aaa/Gilei has began playing Belat.
00:00:26: aaa has logged in from 127.0.0.1.
00:00:30: aaa/Gilei has began playing Belat.
21:13:28: aaa has logged in from 127.0.0.1.
21:13:33: aaa/Gilei has began playing Belat.
04:44:58: aaa has logged in from 127.0.0.1.
04:45:01: aaa/Gilei has began playing Belat.
00:40:17: aaa has logged in from 127.0.0.1.
00:40:20: aaa/Gilei has began playing Belat.
00:41:05: aaa has logged in from 127.0.0.1.
00:41:07: aaa/Gilei has began playing Belat.
00:44:05: aaa has logged in from 127.0.0.1.
00:44:07: aaa/Gilei has began playing Belat.
00:45:23: Account dran has been created.
00:47:06: dran has logged in from 213.115.114.224.
00:47:32: Character dran added to dran's account.
00:47:37: dran/dran has began playing Belat.
00:49:37: dran has logged in from 213.115.114.224.
00:49:38: dran/dran has began playing Belat.
00:49:40: aaa has logged in from 127.0.0.1.
00:49:43: aaa/Gilei has began playing Belat.
00:55:12: aaa has logged in from 127.0.0.1.
00:55:14: aaa/Dalster has began playing Belat.
01:00:04: Map #4: dran : AA
01:14:13: aaa has logged in from 127.0.0.1.
01:14:15: aaa/Gilei has began playing Belat.
01:36:23: aaa has logged in from 127.0.0.1.
01:36:25: aaa/Gilei has began playing Belat.
01:48:07: aaa has logged in from 127.0.0.1.
01:48:10: aaa/Gilei has began playing Belat.
01:51:20: aaa has logged in from 127.0.0.1.
01:51:23: aaa/Gilei has began playing Belat.
01:52:15: aaa has logged in from 127.0.0.1.
01:52:17: aaa/Gilei has began playing Belat.
01:54:22: aaa has logged in from 127.0.0.1.
01:54:28: Character deleted on aaa's account.
01:54:43: Character Dalster added to aaa's account.
01:54:53: aaa/Dalster has began playing Belat.
01:55:01: aaa has logged in from 127.0.0.1.
01:55:02: aaa/Gilei has began playing Belat.
01:56:14: aaa has logged in from 127.0.0.1.
01:56:25: aaa/Dalster has began playing Belat.
01:56:38: aaa has logged in from 127.0.0.1.
01:56:40: aaa/Gilei has began playing Belat.
01:58:06: aaa has logged in from 127.0.0.1.
01:58:09: aaa/Dalster has began playing Belat.
01:58:38: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoul)
01:59:26: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoul)
02:07:59: aaa has logged in from 127.0.0.1.
02:08:01: aaa/Gilei has began playing Belat.
02:08:09: aaa has logged in from 127.0.0.1.
02:08:12: aaa/Dalster has began playing Belat.
02:08:29: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCoul)
02:08:51: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCouCall SetRes(CurResX, CurCall SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCoul)Call 
02:13:16: aaa has logged in from 127.0.0.1.
02:13:17: aaa/Gilei has began playing Belat.
02:13:33: aaa has logged in from 127.0.0.1.
02:13:36: aaa/Dalster has began playing Belat.
02:13:45: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoul)
02:14:39: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoul)
02:15:59: aaa has logged in from 127.0.0.1.
02:16:01: aaa/Gilei has began playing Belat.
02:16:32: aaa has logged in from 127.0.0.1.
02:16:35: aaa/Gilei has began playing Belat.
02:16:49: aaa has logged in from 127.0.0.1.
02:16:51: aaa/Dalster has began playing Belat.
02:18:42: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoul)
02:21:20: aaa has logged in from 127.0.0.1.
02:21:22: aaa/Dalster has began playing Belat.
02:22:26: aaa has logged in from 127.0.0.1.
02:22:28: aaa/Gilei has began playing Belat.
02:22:53: aaa has logged in from 127.0.0.1.
02:22:57: aaa/Dalster has began playing Belat.
02:23:42: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoul)
02:33:46: aaa has logged in from 127.0.0.1.
02:33:52: aaa/Gilei has began playing Belat.
02:36:54: aaa has logged in from 127.0.0.1.
02:36:55: aaa/Dalster has began playing Belat.
02:40:50: Map #5: Dalster : Call SetRes(CurResX, CurResY, CurCoulCall SetRes(CurResX, CurResY, CurCoulCall SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCouCall SetRes(CurResX, CurResY, CurCoul)
02:40:57: Map #5: Dalster : Call SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCoul)
02:42:59: aaa has logged in from 127.0.0.1.
02:43:01: aaa/Gilei has began playing Belat.
02:45:18: aaa has logged in from 127.0.0.1.
02:45:24: aaa has logged in from 127.0.0.1.
02:45:25: aaa/Dalster has began playing Belat.
02:45:46: aaa has logged in from 127.0.0.1.
02:45:48: aaa/Gilei has began playing Belat.
02:46:18: aaa has logged in from 127.0.0.1.
02:46:24: aaa has logged in from 127.0.0.1.
02:46:35: aaa/Gilei has began playing Belat.
02:47:11: aaa has logged in from 127.0.0.1.
02:47:14: aaa/Dalster has began playing Belat.
02:49:26: Map #5: Dalster : Call SetRes(CurResX, CurResY, CurCouCall SetRes(CurResX, CurResY, CurCoulCall SetRes(CurResX, CurResY, CurCoul)
02:50:17: aaa has logged in from 127.0.0.1.
02:50:19: aaa/Gilei has began playing Belat.
02:51:32: aaa has logged in from 127.0.0.1.
02:51:34: aaa/Dalster has began playing Belat.
02:52:14: Map #4: Dalster : Call SetRes(CurResX, CurResY, Call SetRes(CurResX, CurResY, CurCouCall SetRes(CurResX, CurResY, CurCoul)
02:58:52: Map #5: Dalster : Call SetRes(CurResX, CurResY, CurCoCall SetRes(CurResX, CurResY, CCall SetRes(CurResX, CurResY, CurCoul)Call SetRes(CurResX, CurResY, CurCall SetRes(CurResX, CurResY, CurCoul)
03:01:47: aaa has logged in from 127.0.0.1.
03:01:49: aaa/Gilei has began playing Belat.
03:07:13: aaa has logged in from 127.0.0.1.
03:07:18: aaa has logged in from 127.0.0.1.
03:07:20: aaa/Dalster has began playing Belat.
03:07:46: aaa has logged in from 127.0.0.1.
03:07:49: aaa/Gilei has began playing Belat.
03:08:22: aaa has logged in from 127.0.0.1.
03:08:26: aaa/Gilei has began playing Belat.
03:09:35: aaa has logged in from 127.0.0.1.
03:09:37: aaa/Dalster has began playing Belat.
03:10:00: Map #4: Dalster : Call SetRes(CurResX, CurResY, CurCoulCall SetRes(CurResX, CurResY, CurCoul)
